S.No,Crop Name,ScientificName,n,P,K,Zn,MN_Fe_B_Cu
2005,Garlic,,High,Low,High,,VeryLow
2006,Peas,,High,Low,High,VeryLow,VeryLow
2007,Orange,,High,Low,High,VeryLow,VeryLow
2008,Celery,,High,Low,High,VeryLow,VeryLow
2009,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
2010,TableTomato,,High,Low,High,VeryLow,VeryLow
2011,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
2012,Sorghum,,M,Low,M,VeryLow,VeryLow
2013,PearlMillet,,M,Low,M,VeryLow,VeryLow
2014,Raagi,,Low,Low,Low,VeryLow,VeryLow
2015,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
2016,Barley,,Low,Low,Low,VeryLow,VeryLow
2017,ChickPea,,M,Low,M,VeryLow,VeryLow
2018,PigeonPea,,M,Low,Low,VeryLow,VeryLow
2019,SoyaBean,,High,Low,M,VeryLow,VeryLow
2020,Jute,,M,Low,M,VeryLow,VeryLow
2021,Rubber,,Low,M,Low,,
2022,Tea,,High,Low,M,,
2023,Tobacco,,High,Low,M,,
2024,Apple,,High,Low,M,,
2025,CustardApple,,M,Low,M,,
2026,WaterMelon,,High,Low,M,,
2027,Beetroot,,High,High,High,,
2028,Carrot,,High,High,M,,
2029,Rice,Oryza sativum,High,M,M,High,Medium
2030,Wheat,Triticum,High,Low,M,Medium,Medium
2031,Maize,Zea mays,High,High,Low,Low,VeryLow
2032,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
2033,Coconut,Cocus nucifera,M,High,M,Low,Low
2034,Chilli,Capsicum frutescens,High,M,M,Low,Low
2035,Cotton,Gossypium,High,M,M,Low,Low
2036,Redgram,Cajanus cajan,Low,M,Low,Low,Low
2037,Onion,Allium sepa,High,M,High,High,High
2038,Potato,Solanum tuberosum,High,High,High,Low,Low
2039,Brinjal,Solanum melongena,High,M,M,Low,Low
2040,Drumstick,Moringa oleifera,M,Low,High,Low,Low
2041,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
2042,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
2043,Banana,Musa acuminata,High,High,High,M,M
2044,Tomato,Solanum lycopersicum,High,M,M,Low,Low
2045,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
2046,Mango,Mangifera indica,High,High,M,Medium,Medium
2047,Castor,Ricinus communis,High,M,High,Medium,Low
2048,Mustard,Brassica   ,High,M,M,Low,Low
2049,Cucumber,Cucumis sativus,Low,High,High,Low,Low
2050,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
2051,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
2052,Pumpkin,Cucurbita,High,M,High,Medium,Medium
2053,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
2054,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
2055,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
2056,Sun Flower,Helianthus,High,M,M,Low,VeryLow
2057,Garlic,,High,Low,High,,VeryLow
2058,Peas,,High,Low,High,VeryLow,VeryLow
2059,Orange,,High,Low,High,VeryLow,VeryLow
2060,Celery,,High,Low,High,VeryLow,VeryLow
2061,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
2062,TableTomato,,High,Low,High,VeryLow,VeryLow
2063,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
2064,Sorghum,,M,Low,M,VeryLow,VeryLow
2065,PearlMillet,,M,Low,M,VeryLow,VeryLow
2066,Raagi,,Low,Low,Low,VeryLow,VeryLow
2067,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
2068,Barley,,Low,Low,Low,VeryLow,VeryLow
2069,ChickPea,,M,Low,M,VeryLow,VeryLow
2070,PigeonPea,,M,Low,Low,VeryLow,VeryLow
2071,SoyaBean,,High,Low,M,VeryLow,VeryLow
2072,Jute,,M,Low,M,VeryLow,VeryLow
2073,Rubber,,Low,M,Low,,
2074,Tea,,High,Low,M,,
2075,Tobacco,,High,Low,M,,
2076,Apple,,High,Low,M,,
2077,CustardApple,,M,Low,M,,
2078,WaterMelon,,High,Low,M,,
2079,Beetroot,,High,High,High,,
2080,Carrot,,High,High,M,,
2081,Rice,Oryza sativum,High,M,M,High,Medium
2082,Wheat,Triticum,High,Low,M,Medium,Medium
2083,Maize,Zea mays,High,High,Low,Low,VeryLow
2084,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
2085,Coconut,Cocus nucifera,M,High,M,Low,Low
2086,Chilli,Capsicum frutescens,High,M,M,Low,Low
2087,Cotton,Gossypium,High,M,M,Low,Low
2088,Redgram,Cajanus cajan,Low,M,Low,Low,Low
2089,Onion,Allium sepa,High,M,High,High,High
2090,Potato,Solanum tuberosum,High,High,High,Low,Low
2091,Brinjal,Solanum melongena,High,M,M,Low,Low
2092,Drumstick,Moringa oleifera,M,Low,High,Low,Low
2093,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
2094,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
2095,Banana,Musa acuminata,High,High,High,M,M
2096,Tomato,Solanum lycopersicum,High,M,M,Low,Low
2097,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
2098,Mango,Mangifera indica,High,High,M,Medium,Medium
2099,Castor,Ricinus communis,High,M,High,Medium,Low
2100,Mustard,Brassica   ,High,M,M,Low,Low
2101,Cucumber,Cucumis sativus,Low,High,High,Low,Low
2102,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
2103,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
2104,Pumpkin,Cucurbita,High,M,High,Medium,Medium
2105,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
2106,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
2107,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
2108,Sun Flower,Helianthus,High,M,M,Low,VeryLow
2109,Garlic,,High,Low,High,,VeryLow
2110,Peas,,High,Low,High,VeryLow,VeryLow
2111,Orange,,High,Low,High,VeryLow,VeryLow
2112,Celery,,High,Low,High,VeryLow,VeryLow
2113,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
2114,TableTomato,,High,Low,High,VeryLow,VeryLow
2115,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
2116,Sorghum,,M,Low,M,VeryLow,VeryLow
2117,PearlMillet,,M,Low,M,VeryLow,VeryLow
2118,Raagi,,Low,Low,Low,VeryLow,VeryLow
2119,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
2120,Barley,,Low,Low,Low,VeryLow,VeryLow
2121,ChickPea,,M,Low,M,VeryLow,VeryLow
2122,PigeonPea,,M,Low,Low,VeryLow,VeryLow
2123,SoyaBean,,High,Low,M,VeryLow,VeryLow
2124,Jute,,M,Low,M,VeryLow,VeryLow
2125,Rubber,,Low,M,Low,,
2126,Tea,,High,Low,M,,
2127,Tobacco,,High,Low,M,,
2128,Apple,,High,Low,M,,
2129,CustardApple,,M,Low,M,,
2130,WaterMelon,,High,Low,M,,
2131,Beetroot,,High,High,High,,
2132,Carrot,,High,High,M,,
2133,Rice,Oryza sativum,High,M,M,High,Medium
2134,Wheat,Triticum,High,Low,M,Medium,Medium
2135,Maize,Zea mays,High,High,Low,Low,VeryLow
2136,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
2137,Coconut,Cocus nucifera,M,High,M,Low,Low
2138,Chilli,Capsicum frutescens,High,M,M,Low,Low
2139,Cotton,Gossypium,High,M,M,Low,Low
2140,Redgram,Cajanus cajan,Low,M,Low,Low,Low
2141,Onion,Allium sepa,High,M,High,High,High
2142,Potato,Solanum tuberosum,High,High,High,Low,Low
2143,Brinjal,Solanum melongena,High,M,M,Low,Low
2144,Drumstick,Moringa oleifera,M,Low,High,Low,Low
2145,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
2146,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
2147,Banana,Musa acuminata,High,High,High,M,M
2148,Tomato,Solanum lycopersicum,High,M,M,Low,Low
2149,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
2150,Mango,Mangifera indica,High,High,M,Medium,Medium
2151,Castor,Ricinus communis,High,M,High,Medium,Low
2152,Mustard,Brassica   ,High,M,M,Low,Low
2153,Cucumber,Cucumis sativus,Low,High,High,Low,Low
2154,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
2155,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
2156,Pumpkin,Cucurbita,High,M,High,Medium,Medium
2157,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
2158,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
2159,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
2160,Sun Flower,Helianthus,High,M,M,Low,VeryLow
2161,Garlic,,High,Low,High,,VeryLow
2162,Peas,,High,Low,High,VeryLow,VeryLow
2163,Orange,,High,Low,High,VeryLow,VeryLow
2164,Celery,,High,Low,High,VeryLow,VeryLow
2165,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
2166,TableTomato,,High,Low,High,VeryLow,VeryLow
2167,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
2168,Sorghum,,M,Low,M,VeryLow,VeryLow
2169,PearlMillet,,M,Low,M,VeryLow,VeryLow
2170,Raagi,,Low,Low,Low,VeryLow,VeryLow
2171,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
2172,Barley,,Low,Low,Low,VeryLow,VeryLow
2173,ChickPea,,M,Low,M,VeryLow,VeryLow
2174,PigeonPea,,M,Low,Low,VeryLow,VeryLow
2175,SoyaBean,,High,Low,M,VeryLow,VeryLow
2176,Jute,,M,Low,M,VeryLow,VeryLow
2177,Rubber,,Low,M,Low,,
2178,Tea,,High,Low,M,,
2179,Tobacco,,High,Low,M,,
2180,Apple,,High,Low,M,,
2181,CustardApple,,M,Low,M,,
2182,WaterMelon,,High,Low,M,,
2183,Beetroot,,High,High,High,,
2184,Carrot,,High,High,M,,
2185,Rice,Oryza sativum,High,M,M,High,Medium
2186,Wheat,Triticum,High,Low,M,Medium,Medium
2187,Maize,Zea mays,High,High,Low,Low,VeryLow
2188,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
2189,Coconut,Cocus nucifera,M,High,M,Low,Low
2190,Chilli,Capsicum frutescens,High,M,M,Low,Low
2191,Cotton,Gossypium,High,M,M,Low,Low
2192,Redgram,Cajanus cajan,Low,M,Low,Low,Low
2193,Onion,Allium sepa,High,M,High,High,High
2194,Potato,Solanum tuberosum,High,High,High,Low,Low
2195,Brinjal,Solanum melongena,High,M,M,Low,Low
2196,Drumstick,Moringa oleifera,M,Low,High,Low,Low
2197,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
2198,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
2199,Banana,Musa acuminata,High,High,High,M,M
2200,Tomato,Solanum lycopersicum,High,M,M,Low,Low
2201,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
2202,Mango,Mangifera indica,High,High,M,Medium,Medium
2203,Castor,Ricinus communis,High,M,High,Medium,Low
2204,Mustard,Brassica   ,High,M,M,Low,Low
2205,Cucumber,Cucumis sativus,Low,High,High,Low,Low
2206,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
2207,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
2208,Pumpkin,Cucurbita,High,M,High,Medium,Medium
2209,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
2210,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
2211,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
2212,Sun Flower,Helianthus,High,M,M,Low,VeryLow
2213,Garlic,,High,Low,High,,VeryLow
2214,Peas,,High,Low,High,VeryLow,VeryLow
2215,Orange,,High,Low,High,VeryLow,VeryLow
2216,Celery,,High,Low,High,VeryLow,VeryLow
2217,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
2218,TableTomato,,High,Low,High,VeryLow,VeryLow
2219,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
2220,Sorghum,,M,Low,M,VeryLow,VeryLow
2221,PearlMillet,,M,Low,M,VeryLow,VeryLow
2222,Raagi,,Low,Low,Low,VeryLow,VeryLow
2223,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
2224,Barley,,Low,Low,Low,VeryLow,VeryLow
2225,ChickPea,,M,Low,M,VeryLow,VeryLow
2226,PigeonPea,,M,Low,Low,VeryLow,VeryLow
2227,SoyaBean,,High,Low,M,VeryLow,VeryLow
2228,Jute,,M,Low,M,VeryLow,VeryLow
2229,Rubber,,Low,M,Low,,
2230,Tea,,High,Low,M,,
2231,Tobacco,,High,Low,M,,
2232,Apple,,High,Low,M,,
2233,CustardApple,,M,Low,M,,
2234,WaterMelon,,High,Low,M,,
2235,Beetroot,,High,High,High,,
2236,Carrot,,High,High,M,,
2237,Rice,Oryza sativum,High,M,M,High,Medium
2238,Wheat,Triticum,High,Low,M,Medium,Medium
2239,Maize,Zea mays,High,High,Low,Low,VeryLow
2240,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
2241,Coconut,Cocus nucifera,M,High,M,Low,Low
2242,Chilli,Capsicum frutescens,High,M,M,Low,Low
2243,Cotton,Gossypium,High,M,M,Low,Low
2244,Redgram,Cajanus cajan,Low,M,Low,Low,Low
2245,Onion,Allium sepa,High,M,High,High,High
2246,Potato,Solanum tuberosum,High,High,High,Low,Low
2247,Brinjal,Solanum melongena,High,M,M,Low,Low
2248,Drumstick,Moringa oleifera,M,Low,High,Low,Low
2249,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
2250,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
2251,Banana,Musa acuminata,High,High,High,M,M
2252,Tomato,Solanum lycopersicum,High,M,M,Low,Low
2253,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
2254,Mango,Mangifera indica,High,High,M,Medium,Medium
2255,Castor,Ricinus communis,High,M,High,Medium,Low
2256,Mustard,Brassica   ,High,M,M,Low,Low
2257,Cucumber,Cucumis sativus,Low,High,High,Low,Low
2258,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
2259,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
2260,Pumpkin,Cucurbita,High,M,High,Medium,Medium
2261,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
2262,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
2263,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
2264,Sun Flower,Helianthus,High,M,M,Low,VeryLow
2265,Garlic,,High,Low,High,,VeryLow
2266,Peas,,High,Low,High,VeryLow,VeryLow
2267,Orange,,High,Low,High,VeryLow,VeryLow
2268,Celery,,High,Low,High,VeryLow,VeryLow
2269,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
2270,TableTomato,,High,Low,High,VeryLow,VeryLow
2271,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
2272,Sorghum,,M,Low,M,VeryLow,VeryLow
2273,PearlMillet,,M,Low,M,VeryLow,VeryLow
2274,Raagi,,Low,Low,Low,VeryLow,VeryLow
2275,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
2276,Barley,,Low,Low,Low,VeryLow,VeryLow
2277,ChickPea,,M,Low,M,VeryLow,VeryLow
2278,PigeonPea,,M,Low,Low,VeryLow,VeryLow
2279,SoyaBean,,High,Low,M,VeryLow,VeryLow
2280,Jute,,M,Low,M,VeryLow,VeryLow
2281,Rubber,,Low,M,Low,,
2282,Tea,,High,Low,M,,
2283,Tobacco,,High,Low,M,,
2284,Apple,,High,Low,M,,
2285,CustardApple,,M,Low,M,,
2286,WaterMelon,,High,Low,M,,
2287,Beetroot,,High,High,High,,
2288,Carrot,,High,High,M,,
2289,Rice,Oryza sativum,High,M,M,High,Medium
2290,Wheat,Triticum,High,Low,M,Medium,Medium
2291,Maize,Zea mays,High,High,Low,Low,VeryLow
2292,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
2293,Coconut,Cocus nucifera,M,High,M,Low,Low
2294,Chilli,Capsicum frutescens,High,M,M,Low,Low
2295,Cotton,Gossypium,High,M,M,Low,Low
2296,Redgram,Cajanus cajan,Low,M,Low,Low,Low
2297,Onion,Allium sepa,High,M,High,High,High
2298,Potato,Solanum tuberosum,High,High,High,Low,Low
2299,Brinjal,Solanum melongena,High,M,M,Low,Low
2300,Drumstick,Moringa oleifera,M,Low,High,Low,Low
2301,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
2302,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
2303,Banana,Musa acuminata,High,High,High,M,M
2304,Tomato,Solanum lycopersicum,High,M,M,Low,Low
2305,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
2306,Mango,Mangifera indica,High,High,M,Medium,Medium
2307,Castor,Ricinus communis,High,M,High,Medium,Low
2308,Mustard,Brassica   ,High,M,M,Low,Low
2309,Cucumber,Cucumis sativus,Low,High,High,Low,Low
2310,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
2311,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
2312,Pumpkin,Cucurbita,High,M,High,Medium,Medium
2313,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
2314,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
2315,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
2316,Sun Flower,Helianthus,High,M,M,Low,VeryLow
2317,Garlic,,High,Low,High,,VeryLow
2318,Peas,,High,Low,High,VeryLow,VeryLow
2319,Orange,,High,Low,High,VeryLow,VeryLow
2320,Celery,,High,Low,High,VeryLow,VeryLow
2321,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
2322,TableTomato,,High,Low,High,VeryLow,VeryLow
2323,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
2324,Sorghum,,M,Low,M,VeryLow,VeryLow
2325,PearlMillet,,M,Low,M,VeryLow,VeryLow
2326,Raagi,,Low,Low,Low,VeryLow,VeryLow
2327,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
2328,Barley,,Low,Low,Low,VeryLow,VeryLow
2329,ChickPea,,M,Low,M,VeryLow,VeryLow
2330,PigeonPea,,M,Low,Low,VeryLow,VeryLow
2331,SoyaBean,,High,Low,M,VeryLow,VeryLow
2332,Jute,,M,Low,M,VeryLow,VeryLow
2333,Rubber,,Low,M,Low,,
2334,Tea,,High,Low,M,,
2335,Tobacco,,High,Low,M,,
2336,Apple,,High,Low,M,,
2337,CustardApple,,M,Low,M,,
2338,WaterMelon,,High,Low,M,,
2339,Beetroot,,High,High,High,,
2340,Carrot,,High,High,M,,
2341,Rice,Oryza sativum,High,M,M,High,Medium
2342,Wheat,Triticum,High,Low,M,Medium,Medium
2343,Maize,Zea mays,High,High,Low,Low,VeryLow
2344,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
2345,Coconut,Cocus nucifera,M,High,M,Low,Low
2346,Chilli,Capsicum frutescens,High,M,M,Low,Low
2347,Cotton,Gossypium,High,M,M,Low,Low
2348,Redgram,Cajanus cajan,Low,M,Low,Low,Low
2349,Onion,Allium sepa,High,M,High,High,High
2350,Potato,Solanum tuberosum,High,High,High,Low,Low
2351,Brinjal,Solanum melongena,High,M,M,Low,Low
2352,Drumstick,Moringa oleifera,M,Low,High,Low,Low
2353,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
2354,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
2355,Banana,Musa acuminata,High,High,High,M,M
2356,Tomato,Solanum lycopersicum,High,M,M,Low,Low
2357,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
2358,Mango,Mangifera indica,High,High,M,Medium,Medium
2359,Castor,Ricinus communis,High,M,High,Medium,Low
2360,Mustard,Brassica   ,High,M,M,Low,Low
2361,Cucumber,Cucumis sativus,Low,High,High,Low,Low
2362,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
2363,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
2364,Pumpkin,Cucurbita,High,M,High,Medium,Medium
2365,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
2366,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
2367,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
2368,Sun Flower,Helianthus,High,M,M,Low,VeryLow
2369,Garlic,,High,Low,High,,VeryLow
2370,Peas,,High,Low,High,VeryLow,VeryLow
2371,Orange,,High,Low,High,VeryLow,VeryLow
2372,Celery,,High,Low,High,VeryLow,VeryLow
2373,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
2374,TableTomato,,High,Low,High,VeryLow,VeryLow
2375,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
2376,Sorghum,,M,Low,M,VeryLow,VeryLow
2377,PearlMillet,,M,Low,M,VeryLow,VeryLow
2378,Raagi,,Low,Low,Low,VeryLow,VeryLow
2379,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
2380,Barley,,Low,Low,Low,VeryLow,VeryLow
2381,ChickPea,,M,Low,M,VeryLow,VeryLow
2382,PigeonPea,,M,Low,Low,VeryLow,VeryLow
2383,SoyaBean,,High,Low,M,VeryLow,VeryLow
2384,Jute,,M,Low,M,VeryLow,VeryLow
2385,Rubber,,Low,M,Low,,
2386,Tea,,High,Low,M,,
2387,Tobacco,,High,Low,M,,
2388,Apple,,High,Low,M,,
2389,CustardApple,,M,Low,M,,
2390,WaterMelon,,High,Low,M,,
2391,Beetroot,,High,High,High,,
2392,Carrot,,High,High,M,,
2393,Rice,Oryza sativum,High,M,M,High,Medium
2394,Wheat,Triticum,High,Low,M,Medium,Medium
2395,Maize,Zea mays,High,High,Low,Low,VeryLow
2396,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
2397,Coconut,Cocus nucifera,M,High,M,Low,Low
2398,Chilli,Capsicum frutescens,High,M,M,Low,Low
2399,Cotton,Gossypium,High,M,M,Low,Low
2400,Redgram,Cajanus cajan,Low,M,Low,Low,Low
2401,Onion,Allium sepa,High,M,High,High,High
2402,Potato,Solanum tuberosum,High,High,High,Low,Low
2403,Brinjal,Solanum melongena,High,M,M,Low,Low
2404,Drumstick,Moringa oleifera,M,Low,High,Low,Low
2405,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
2406,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
2407,Banana,Musa acuminata,High,High,High,M,M
2408,Tomato,Solanum lycopersicum,High,M,M,Low,Low
2409,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
2410,Mango,Mangifera indica,High,High,M,Medium,Medium
2411,Castor,Ricinus communis,High,M,High,Medium,Low
2412,Mustard,Brassica   ,High,M,M,Low,Low
2413,Cucumber,Cucumis sativus,Low,High,High,Low,Low
2414,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
2415,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
2416,Pumpkin,Cucurbita,High,M,High,Medium,Medium
2417,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
2418,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
2419,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
2420,Sun Flower,Helianthus,High,M,M,Low,VeryLow
2421,Garlic,,High,Low,High,,VeryLow
2422,Peas,,High,Low,High,VeryLow,VeryLow
2423,Orange,,High,Low,High,VeryLow,VeryLow
2424,Celery,,High,Low,High,VeryLow,VeryLow
2425,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
2426,TableTomato,,High,Low,High,VeryLow,VeryLow
2427,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
2428,Sorghum,,M,Low,M,VeryLow,VeryLow
2429,PearlMillet,,M,Low,M,VeryLow,VeryLow
2430,Raagi,,Low,Low,Low,VeryLow,VeryLow
2431,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
2432,Barley,,Low,Low,Low,VeryLow,VeryLow
2433,ChickPea,,M,Low,M,VeryLow,VeryLow
2434,PigeonPea,,M,Low,Low,VeryLow,VeryLow
2435,SoyaBean,,High,Low,M,VeryLow,VeryLow
2436,Jute,,M,Low,M,VeryLow,VeryLow
2437,Rubber,,Low,M,Low,,
2438,Tea,,High,Low,M,,
2439,Tobacco,,High,Low,M,,
2440,Apple,,High,Low,M,,
2441,CustardApple,,M,Low,M,,
2442,WaterMelon,,High,Low,M,,
2443,Beetroot,,High,High,High,,
2444,Carrot,,High,High,M,,
2445,Rice,Oryza sativum,High,M,M,High,Medium
2446,Wheat,Triticum,High,Low,M,Medium,Medium
2447,Maize,Zea mays,High,High,Low,Low,VeryLow
2448,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
2449,Coconut,Cocus nucifera,M,High,M,Low,Low
2450,Chilli,Capsicum frutescens,High,M,M,Low,Low
2451,Cotton,Gossypium,High,M,M,Low,Low
2452,Redgram,Cajanus cajan,Low,M,Low,Low,Low
2453,Onion,Allium sepa,High,M,High,High,High
2454,Potato,Solanum tuberosum,High,High,High,Low,Low
2455,Brinjal,Solanum melongena,High,M,M,Low,Low
2456,Drumstick,Moringa oleifera,M,Low,High,Low,Low
2457,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
2458,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
2459,Banana,Musa acuminata,High,High,High,M,M
2460,Tomato,Solanum lycopersicum,High,M,M,Low,Low
2461,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
2462,Mango,Mangifera indica,High,High,M,Medium,Medium
2463,Castor,Ricinus communis,High,M,High,Medium,Low
2464,Mustard,Brassica   ,High,M,M,Low,Low
2465,Cucumber,Cucumis sativus,Low,High,High,Low,Low
2466,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
2467,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
2468,Pumpkin,Cucurbita,High,M,High,Medium,Medium
2469,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
2470,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
2471,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
2472,Sun Flower,Helianthus,High,M,M,Low,VeryLow
2473,Garlic,,High,Low,High,,VeryLow
2474,Peas,,High,Low,High,VeryLow,VeryLow
2475,Orange,,High,Low,High,VeryLow,VeryLow
2476,Celery,,High,Low,High,VeryLow,VeryLow
2477,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
2478,TableTomato,,High,Low,High,VeryLow,VeryLow
2479,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
2480,Sorghum,,M,Low,M,VeryLow,VeryLow
2481,PearlMillet,,M,Low,M,VeryLow,VeryLow
2482,Raagi,,Low,Low,Low,VeryLow,VeryLow
2483,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
2484,Barley,,Low,Low,Low,VeryLow,VeryLow
2485,ChickPea,,M,Low,M,VeryLow,VeryLow
2486,PigeonPea,,M,Low,Low,VeryLow,VeryLow
2487,SoyaBean,,High,Low,M,VeryLow,VeryLow
2488,Jute,,M,Low,M,VeryLow,VeryLow
2489,Rubber,,Low,M,Low,,
2490,Tea,,High,Low,M,,
2491,Tobacco,,High,Low,M,,
2492,Apple,,High,Low,M,,
2493,CustardApple,,M,Low,M,,
2494,WaterMelon,,High,Low,M,,
2495,Beetroot,,High,High,High,,
2496,Carrot,,High,High,M,,
2497,Rice,Oryza sativum,High,M,M,High,Medium
2498,Wheat,Triticum,High,Low,M,Medium,Medium
2499,Maize,Zea mays,High,High,Low,Low,VeryLow
2500,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
